,price,bids,asks
0,65518.88,0.00013,0.0
1,65518.94,0.00368,0.0
2,65518.95,0.01116,0.0
3,65519.01,0.00406,0.0
4,65519.25,0.00012,0.0
5,65519.38,0.00017,0.0
6,65519.47,0.00098,0.0
7,65519.67,0.00015,0.0
8,65519.87,0.00014,0.0
9,65520.0,0.30373,0.0
10,65520.05,0.00012,0.0
11,65520.24,9e-05,0.0
12,65520.62,0.00027,0.0
13,65520.64,0.00115,0.0
14,65520.83,0.00234,0.0
15,65520.86,0.00013,0.0
16,65520.94,0.00082,0.0
17,65521.0,0.01903,0.0
18,65521.02,0.07921,0.0
19,65521.21,0.00149,0.0
20,65521.28,0.00156,0.0
21,65521.5,0.0003,0.0
22,65521.6,8e-05,0.0
23,65521.64,0.00012,0.0
24,65521.87,0.00012,0.0
25,65521.96,0.00022,0.0
26,65522.01,0.00023,0.0
27,65522.14,0.0001,0.0
28,65522.15,0.00013,0.0
29,65522.35,0.00059,0.0
30,65522.46,0.0002,0.0
31,65522.54,0.00011,0.0
32,65522.56,0.00016,0.0
33,65522.72,0.00014,0.0
34,65522.89,0.00051,0.0
35,65522.9,0.0003,0.0
36,65522.94,0.00034,0.0
37,65523.0,0.00763,0.0
38,65523.06,8e-05,0.0
39,65523.13,9e-05,0.0
40,65523.23,0.00013,0.0
41,65523.42,0.0001,0.0
42,65523.56,0.00016,0.0
43,65523.7,0.00018,0.0
44,65523.78,0.05287,0.0
45,65523.8,9e-05,0.0
46,65523.81,0.00103,0.0
47,65523.85,0.00025,0.0
48,65523.94,0.00015,0.0
49,65523.98,0.00021,0.0
50,65524.0,0.00014,0.0
51,65524.33,0.00265,0.0
52,65524.42,0.00022,0.0
53,65524.56,0.00016,0.0
54,65524.83,0.00012,0.0
55,65524.88,0.00024,0.0
56,65524.93,0.0002,0.0
57,65524.94,0.00204,0.0
58,65525.0,0.00053,0.0
59,65525.06,0.00058,0.0
60,65525.15,0.0004,0.0
61,65525.17,0.00043,0.0
62,65525.31,0.00072,0.0
63,65525.34,0.0002,0.0
64,65525.41,0.00042,0.0
65,65525.42,8e-05,0.0
66,65525.52,0.00018,0.0
67,65525.53,0.00236,0.0
68,65525.65,0.00033,0.0
69,65525.76,8e-05,0.0
70,65525.79,0.0001,0.0
71,65525.91,0.00023,0.0
72,65526.0,0.00013,0.0
73,65526.07,0.00061,0.0
74,65526.08,0.00023,0.0
75,65526.13,0.00093,0.0
76,65526.16,0.00302,0.0
77,65526.22,9e-05,0.0
78,65526.3,0.01189,0.0
79,65526.31,0.00139,0.0
80,65526.44,0.00015,0.0
81,65526.66,0.00015,0.0
82,65526.7,9e-05,0.0
83,65526.73,0.00026,0.0
84,65526.74,0.00011,0.0
85,65526.87,0.00028,0.0
86,65527.05,0.00047,0.0
87,65527.23,0.00026,0.0
88,65527.27,0.00175,0.0
89,65527.31,0.00022,0.0
90,65527.33,0.00628,0.0
91,65527.37,8e-05,0.0
92,65527.4,9e-05,0.0
93,65527.55,0.00035,0.0
94,65527.6,0.00063,0.0
95,65527.73,9e-05,0.0
96,65527.77,0.0001,0.0
97,65528.0,0.00229,0.0
98,65528.06,8e-05,0.0
99,65528.39,0.00017,0.0
100,65528.57,0.00019,0.0
101,65528.59,9e-05,0.0
102,65528.6,0.00026,0.0
103,65528.66,0.00051,0.0
104,65528.77,0.00638,0.0
105,65528.8,9e-05,0.0
106,65528.9,0.00057,0.0
107,65528.95,0.00074,0.0
108,65529.05,0.00013,0.0
109,65529.15,0.00018,0.0
110,65529.41,0.00116,0.0
111,65529.43,0.00027,0.0
112,65529.51,9e-05,0.0
113,65529.56,0.00059,0.0
114,65529.6,0.00041,0.0
115,65530.0,0.004,0.0
116,65530.05,0.00015,0.0
117,65530.51,0.001,0.0
118,65530.6,0.00011,0.0
119,65530.83,0.00014,0.0
120,65531.0,8e-05,0.0
121,65531.15,0.00019,0.0
122,65531.16,0.00064,0.0
123,65531.2,0.00025,0.0
124,65531.46,8e-05,0.0
125,65531.53,0.00011,0.0
126,65531.61,0.00064,0.0
127,65531.62,0.00012,0.0
128,65531.83,8e-05,0.0
129,65531.99,0.00011,0.0
130,65532.01,0.0958,0.0
131,65532.1,9e-05,0.0
132,65532.31,0.00063,0.0
133,65532.51,0.00012,0.0
134,65532.54,0.00013,0.0
135,65532.62,0.00012,0.0
136,65533.16,8e-05,0.0
137,65533.28,9e-05,0.0
138,65533.33,0.00121,0.0
139,65533.47,0.00016,0.0
140,65533.52,0.00013,0.0
141,65533.68,0.00127,0.0
142,65533.69,0.00052,0.0
143,65533.85,0.00338,0.0
144,65533.89,0.00019,0.0
145,65533.95,0.00012,0.0
146,65533.99,0.40553,0.0
147,65534.02,0.00067,0.0
148,65534.03,0.00084,0.0
149,65534.15,0.00184,0.0
150,65534.19,0.0007,0.0
151,65534.24,9e-05,0.0
152,65534.4,9e-05,0.0
153,65534.68,8e-05,0.0
154,65534.94,0.00039,0.0
155,65534.96,8e-05,0.0
156,65535.14,0.00013,0.0
157,65535.15,0.00012,0.0
158,65535.19,0.00057,0.0
159,65535.21,0.0003,0.0
160,65535.31,0.00152,0.0
161,65535.44,0.0001,0.0
162,65535.55,0.00011,0.0
163,65535.62,0.00227,0.0
164,65535.69,9e-05,0.0
165,65535.87,0.0001,0.0
166,65535.95,0.0005,0.0
167,65536.0,0.00783,0.0
168,65536.14,0.00076,0.0
169,65536.22,0.00011,0.0
170,65536.23,0.00113,0.0
171,65536.28,0.0002,0.0
172,65536.53,9e-05,0.0
173,65536.72,9e-05,0.0
174,65536.81,0.00064,0.0
175,65536.84,8e-05,0.0
176,65536.98,9e-05,0.0
177,65537.0,0.07506,0.0
178,65537.09,9e-05,0.0
179,65537.13,9e-05,0.0
180,65537.22,0.0001,0.0
181,65537.27,0.00138,0.0
182,65537.31,9e-05,0.0
183,65537.32,0.00022,0.0
184,65537.53,0.00086,0.0
185,65537.56,0.00023,0.0
186,65537.67,9e-05,0.0
187,65537.87,0.02189,0.0
188,65537.99,0.00011,0.0
189,65538.01,0.00167,0.0
190,65538.06,0.00092,0.0
191,65538.31,9e-05,0.0
192,65538.32,0.00031,0.0
193,65538.46,0.00157,0.0
194,65538.53,9e-05,0.0
195,65538.63,0.00018,0.0
196,65538.78,0.00603,0.0
197,65538.96,0.00017,0.0
198,65539.01,0.01197,0.0
199,65539.13,0.35,0.0
200,65539.16,9e-05,0.0
201,65539.23,0.0026,0.0
202,65539.53,0.00019,0.0
203,65539.54,0.00096,0.0
204,65539.65,0.00014,0.0
205,65539.88,0.00025,0.0
206,65539.99,9e-05,0.0
207,65540.0,0.00496,0.0
208,65540.06,0.00041,0.0
209,65540.3,0.00019,0.0
210,65540.32,0.00086,0.0
211,65540.62,9e-05,0.0
212,65540.63,0.00013,0.0
213,65540.65,0.00035,0.0
214,65541.05,0.00011,0.0
215,65541.06,0.00299,0.0
216,65541.2,0.0034,0.0
217,65541.25,0.00146,0.0
218,65541.32,0.00018,0.0
219,65541.36,0.00031,0.0
220,65541.66,0.00065,0.0
221,65541.71,0.003,0.0
222,65541.74,0.00015,0.0
223,65541.9,0.05166,0.0
224,65541.98,0.00013,0.0
225,65542.0,0.00019,0.0
226,65542.08,0.00225,0.0
227,65542.11,0.00026,0.0
228,65542.19,0.00141,0.0
229,65542.3,0.0002,0.0
230,65542.33,0.00022,0.0
231,65542.85,0.0001,0.0
232,65542.97,0.00028,0.0
233,65542.99,0.00079,0.0
234,65543.11,0.00073,0.0
235,65543.43,0.00018,0.0
236,65543.51,0.00034,0.0
237,65543.68,0.0001,0.0
238,65543.76,0.00881,0.0
239,65543.81,9e-05,0.0
240,65544.0,0.00065,0.0
241,65544.11,8e-05,0.0
242,65544.29,0.0002,0.0
243,65544.44,0.00015,0.0
244,65544.46,0.00016,0.0
245,65544.47,0.00012,0.0
246,65544.49,0.00013,0.0
247,65544.52,0.00019,0.0
248,65544.55,0.00014,0.0
249,65544.65,0.0001,0.0
250,65544.91,0.00014,0.0
251,65544.92,0.00296,0.0
252,65544.94,0.00015,0.0
253,65545.07,0.0001,0.0
254,65545.18,0.00183,0.0
255,65545.22,0.00017,0.0
256,65545.27,0.00011,0.0
257,65545.45,0.0132,0.0
258,65545.6,9e-05,0.0
259,65545.68,0.00036,0.0
260,65545.83,0.00081,0.0
261,65546.02,0.00015,0.0
262,65546.11,0.0006,0.0
263,65546.2,0.00066,0.0
264,65546.24,9e-05,0.0
265,65546.29,9e-05,0.0
266,65546.32,0.00824,0.0
267,65546.33,0.00019,0.0
268,65546.41,0.00527,0.0
269,65546.5,0.00026,0.0
270,65546.74,0.00092,0.0
271,65546.93,0.0001,0.0
272,65546.97,0.00013,0.0
273,65547.2,9e-05,0.0
274,65547.51,8e-05,0.0
275,65547.52,0.00027,0.0
276,65547.8,8e-05,0.0
277,65547.87,0.0002,0.0
278,65548.01,0.00013,0.0
279,65548.17,0.00502,0.0
280,65548.23,0.00013,0.0
281,65548.27,0.00024,0.0
282,65548.35,0.00064,0.0
283,65548.38,0.00034,0.0
284,65548.44,0.0001,0.0
285,65548.52,0.00019,0.0
286,65548.59,0.00011,0.0
287,65548.6,0.00012,0.0
288,65548.69,8e-05,0.0
289,65549.1,0.0035,0.0
290,65549.16,0.00042,0.0
291,65549.19,0.0002,0.0
292,65549.38,0.00012,0.0
293,65549.47,0.00035,0.0
294,65549.53,0.00081,0.0
295,65549.67,0.00096,0.0
296,65549.7,0.0002,0.0
297,65549.82,0.00012,0.0
298,65549.86,0.0016,0.0
299,65549.98,0.0001,0.0
300,65550.0,1.0239,0.0
301,65550.11,0.00286,0.0
302,65550.18,0.0001,0.0
303,65550.23,0.00015,0.0
304,65550.29,0.00014,0.0
305,65550.3,0.00015,0.0
306,65550.31,8e-05,0.0
307,65550.38,0.00012,0.0
308,65550.45,0.00034,0.0
309,65550.5,0.00037,0.0
310,65550.56,9e-05,0.0
311,65550.79,0.00041,0.0
312,65551.2,0.00061,0.0
313,65551.51,0.00012,0.0
314,65551.65,0.00033,0.0
315,65551.68,8e-05,0.0
316,65551.72,9e-05,0.0
317,65551.76,0.00046,0.0
318,65552.0,0.00623,0.0
319,65552.08,0.00306,0.0
320,65552.1,0.0001,0.0
321,65552.23,0.00011,0.0
322,65552.27,0.00015,0.0
323,65552.69,0.0003,0.0
324,65552.95,0.00017,0.0
325,65553.04,0.00019,0.0
326,65553.11,0.00046,0.0
327,65553.14,0.00041,0.0
328,65553.17,0.0001,0.0
329,65553.19,0.0001,0.0
330,65553.2,0.0002,0.0
331,65553.21,0.00203,0.0
332,65553.51,0.0002,0.0
333,65553.54,0.00512,0.0
334,65553.6,0.00325,0.0
335,65553.72,0.00041,0.0
336,65553.73,0.00018,0.0
337,65553.75,0.0001,0.0
338,65553.9,9e-05,0.0
339,65553.96,0.00211,0.0
340,65554.01,0.00014,0.0
341,65554.04,0.01733,0.0
342,65554.24,0.00012,0.0
343,65554.55,8e-05,0.0
344,65554.68,0.0003,0.0
345,65554.73,0.0001,0.0
346,65554.79,0.0001,0.0
347,65554.84,9e-05,0.0
348,65554.99,8e-05,0.0
349,65555.0,1.16102,0.0
350,65555.01,0.00015,0.0
351,65555.1,0.0003,0.0
352,65555.12,0.00086,0.0
353,65555.13,0.00014,0.0
354,65555.24,0.00061,0.0
355,65555.55,0.0047,0.0
356,65555.56,0.01132,0.0
357,65555.68,0.00027,0.0
358,65555.75,0.00014,0.0
359,65556.0,0.00087,0.0
360,65556.04,0.00012,0.0
361,65556.08,0.00138,0.0
362,65556.1,0.00011,0.0
363,65556.13,0.00012,0.0
364,65556.18,0.00012,0.0
365,65556.24,0.00029,0.0
366,65556.25,0.00027,0.0
367,65556.42,0.00131,0.0
368,65556.45,0.00051,0.0
369,65556.58,0.00011,0.0
370,65556.62,0.00033,0.0
371,65556.63,0.0004,0.0
372,65556.75,0.00013,0.0
373,65556.79,0.00019,0.0
374,65556.89,0.00012,0.0
375,65556.9,0.00033,0.0
376,65557.0,0.21971,0.0
377,65557.24,0.00234,0.0
378,65557.27,9e-05,0.0
379,65557.52,0.00038,0.0
380,65557.6,0.0001,0.0
381,65557.81,0.0003,0.0
382,65558.0,9e-05,0.0
383,65558.08,9e-05,0.0
384,65558.1,0.00014,0.0
385,65558.28,0.00016,0.0
386,65558.33,0.00011,0.0
387,65558.34,0.00069,0.0
388,65558.36,0.00012,0.0
389,65558.37,0.00016,0.0
390,65558.51,0.0028,0.0
391,65558.72,8e-05,0.0
392,65558.82,0.00022,0.0
393,65558.84,9e-05,0.0
394,65558.97,8e-05,0.0
395,65559.0,0.00018,0.0
396,65559.19,0.00328,0.0
397,65559.23,0.00042,0.0
398,65559.25,9e-05,0.0
399,65559.36,0.0001,0.0
400,65559.52,0.00015,0.0
401,65559.7,0.00013,0.0
402,65559.97,0.00052,0.0
403,65560.0,0.00524,0.0
404,65560.02,0.0533,0.0
405,65560.03,0.00037,0.0
406,65560.07,8e-05,0.0
407,65560.24,0.00142,0.0
408,65560.49,0.00091,0.0
409,65560.62,0.0006,0.0
410,65560.76,0.00152,0.0
411,65560.89,0.00063,0.0
412,65560.94,0.0001,0.0
413,65561.01,0.00019,0.0
414,65561.07,0.00026,0.0
415,65561.13,0.00018,0.0
416,65561.25,0.00013,0.0
417,65561.33,0.002,0.0
418,65561.5,0.00013,0.0
419,65561.63,8e-05,0.0
420,65561.99,0.00014,0.0
421,65562.05,0.00012,0.0
422,65562.32,0.00065,0.0
423,65562.34,0.0001,0.0
424,65562.4,0.00062,0.0
425,65562.47,0.00033,0.0
426,65562.5,0.1012,0.0
427,65562.8,0.02947,0.0
428,65562.87,0.00011,0.0
429,65563.0,0.00038,0.0
430,65563.11,0.00148,0.0
431,65563.14,9e-05,0.0
432,65563.16,0.00041,0.0
433,65563.24,8e-05,0.0
434,65563.58,0.0001,0.0
435,65563.6,0.00013,0.0
436,65563.62,0.00014,0.0
437,65563.92,0.00013,0.0
438,65564.0,0.00141,0.0
439,65564.16,9e-05,0.0
440,65564.21,0.00054,0.0
441,65564.33,0.00492,0.0
442,65564.7,0.0001,0.0
443,65564.96,0.00083,0.0
444,65565.1,0.00045,0.0
445,65565.19,0.00012,0.0
446,65565.21,0.0308,0.0
447,65565.23,0.00037,0.0
448,65565.25,8e-05,0.0
449,65565.36,0.00046,0.0
450,65565.62,0.4054,0.0
451,65565.84,0.05027,0.0
452,65565.97,0.00015,0.0
453,65566.03,0.01882,0.0
454,65566.06,0.00037,0.0
455,65566.11,9e-05,0.0
456,65566.26,0.00014,0.0
457,65566.41,0.00016,0.0
458,65566.66,0.00078,0.0
459,65566.73,0.00187,0.0
460,65567.04,0.00012,0.0
461,65567.14,0.00038,0.0
462,65567.19,0.00032,0.0
463,65567.49,0.00213,0.0
464,65567.78,0.0008,0.0
465,65567.8,0.00223,0.0
466,65567.99,0.00048,0.0
467,65568.15,0.0007,0.0
468,65568.26,0.00062,0.0
469,65568.4,0.00458,0.0
470,65568.76,0.00039,0.0
471,65568.88,0.00022,0.0
472,65568.96,0.00228,0.0
473,65569.18,0.00016,0.0
474,65569.21,0.00028,0.0
475,65569.33,0.0001,0.0
476,65569.35,9e-05,0.0
477,65569.51,0.0005,0.0
478,65569.65,0.00385,0.0
479,65569.69,9e-05,0.0
480,65569.72,9e-05,0.0
481,65569.78,9e-05,0.0
482,65570.0,0.00409,0.0
483,65570.01,0.00314,0.0
484,65570.04,9e-05,0.0
485,65570.24,9e-05,0.0
486,65570.78,0.00012,0.0
487,65570.81,0.35,0.0
488,65570.97,0.00019,0.0
489,65571.07,9e-05,0.0
490,65571.09,0.00011,0.0
491,65571.25,0.00019,0.0
492,65571.26,0.00014,0.0
493,65571.42,0.00661,0.0
494,65571.43,0.0014,0.0
495,65571.52,0.00358,0.0
496,65571.67,0.00018,0.0
497,65571.85,0.00016,0.0
498,65571.88,0.00059,0.0
499,65571.96,0.00055,0.0
500,65572.11,0.00027,0.0
501,65572.32,0.00041,0.0
502,65572.35,0.00044,0.0
503,65572.66,0.00016,0.0
504,65572.76,0.00017,0.0
505,65572.95,0.00182,0.0
506,65573.06,0.00165,0.0
507,65573.16,0.00879,0.0
508,65573.25,0.00028,0.0
509,65573.44,9e-05,0.0
510,65573.66,0.00095,0.0
511,65573.72,0.00012,0.0
512,65573.81,0.00062,0.0
513,65574.0,0.1512,0.0
514,65574.21,0.00025,0.0
515,65574.31,8e-05,0.0
516,65574.58,0.00043,0.0
517,65574.92,0.0002,0.0
518,65574.97,9e-05,0.0
519,65575.0,0.00049,0.0
520,65575.02,9e-05,0.0
521,65575.04,0.00093,0.0
522,65575.16,0.00038,0.0
523,65575.2,0.00046,0.0
524,65575.28,0.0001,0.0
525,65575.52,0.00013,0.0
526,65575.62,0.00498,0.0
527,65575.76,0.00024,0.0
528,65575.86,0.00071,0.0
529,65576.12,9e-05,0.0
530,65576.15,0.0001,0.0
531,65576.16,0.05262,0.0
532,65576.38,0.00012,0.0
533,65576.47,0.00054,0.0
534,65576.5,0.0001,0.0
535,65576.68,0.00038,0.0
536,65576.75,0.00028,0.0
537,65576.87,0.00017,0.0
538,65576.92,0.0005,0.0
539,65576.99,0.00043,0.0
540,65577.0,0.00011,0.0
541,65577.08,9e-05,0.0
542,65577.28,0.00019,0.0
543,65577.37,0.00013,0.0
544,65577.6,8e-05,0.0
545,65577.69,0.0253,0.0
546,65577.76,9e-05,0.0
547,65577.85,9e-05,0.0
548,65577.87,0.00017,0.0
549,65577.89,0.00012,0.0
550,65577.95,0.00012,0.0
551,65578.0,0.00204,0.0
552,65578.33,0.00032,0.0
553,65578.51,0.00124,0.0
554,65578.59,0.0003,0.0
555,65578.65,0.00012,0.0
