,price,bids,asks
0,65518.88,0.00013,0.0
1,65518.94,0.00368,0.0
2,65518.95,0.01116,0.0
3,65519.01,0.00406,0.0
4,65519.38,0.00017,0.0
5,65519.47,0.00098,0.0
6,65519.67,0.00015,0.0
7,65519.87,0.00014,0.0
8,65520.0,0.30382,0.0
9,65520.05,0.00012,0.0
10,65520.24,9e-05,0.0
11,65520.62,0.00027,0.0
12,65520.64,0.00115,0.0
13,65520.83,0.00234,0.0
14,65520.86,0.00013,0.0
15,65520.94,0.00082,0.0
16,65521.0,0.01831,0.0
17,65521.02,0.07921,0.0
18,65521.21,0.00149,0.0
19,65521.28,0.00156,0.0
20,65521.5,0.0003,0.0
21,65521.6,8e-05,0.0
22,65521.64,0.00012,0.0
23,65521.87,0.00012,0.0
24,65521.96,0.00022,0.0
25,65522.01,0.00023,0.0
26,65522.14,0.0001,0.0
27,65522.15,0.00013,0.0
28,65522.4,8e-05,0.0
29,65522.46,0.0002,0.0
30,65522.54,0.00011,0.0
31,65522.56,0.00016,0.0
32,65522.66,0.00063,0.0
33,65522.72,0.00014,0.0
34,65522.9,0.0003,0.0
35,65522.94,0.00034,0.0
36,65523.0,0.00763,0.0
37,65523.06,8e-05,0.0
38,65523.13,9e-05,0.0
39,65523.23,0.00013,0.0
40,65523.42,0.0001,0.0
41,65523.56,0.00016,0.0
42,65523.7,0.00018,0.0
43,65523.8,9e-05,0.0
44,65523.81,0.00103,0.0
45,65523.85,0.00025,0.0
46,65523.94,0.00015,0.0
47,65523.98,0.00021,0.0
48,65524.0,0.00014,0.0
49,65524.33,0.00265,0.0
50,65524.42,0.00022,0.0
51,65524.56,0.00016,0.0
52,65524.83,0.00012,0.0
53,65524.88,0.00024,0.0
54,65524.93,0.0002,0.0
55,65524.94,0.00234,0.0
56,65525.0,0.00044,0.0
57,65525.06,0.00058,0.0
58,65525.15,0.0004,0.0
59,65525.17,0.00043,0.0
60,65525.31,0.00097,0.0
61,65525.34,0.0002,0.0
62,65525.41,0.00042,0.0
63,65525.42,8e-05,0.0
64,65525.52,0.00018,0.0
65,65525.53,0.00236,0.0
66,65525.65,0.00033,0.0
67,65525.76,8e-05,0.0
68,65525.79,0.0001,0.0
69,65525.91,0.00023,0.0
70,65526.0,0.00013,0.0
71,65526.07,0.00061,0.0
72,65526.08,0.00023,0.0
73,65526.13,0.00093,0.0
74,65526.3,0.01189,0.0
75,65526.31,0.00139,0.0
76,65526.44,0.00015,0.0
77,65526.66,0.00015,0.0
78,65526.73,0.00026,0.0
79,65526.74,0.00011,0.0
80,65526.87,0.00028,0.0
81,65527.05,0.00047,0.0
82,65527.23,0.00026,0.0
83,65527.27,0.00175,0.0
84,65527.31,0.00022,0.0
85,65527.33,0.00628,0.0
86,65527.37,8e-05,0.0
87,65527.4,9e-05,0.0
88,65527.55,0.00035,0.0
89,65527.6,0.00063,0.0
90,65527.73,9e-05,0.0
91,65527.77,0.0001,0.0
92,65528.0,0.00229,0.0
93,65528.06,8e-05,0.0
94,65528.39,0.00017,0.0
95,65528.57,8e-05,0.0
96,65528.59,9e-05,0.0
97,65528.6,0.00026,0.0
98,65528.66,0.00051,0.0
99,65528.8,9e-05,0.0
100,65528.9,0.00057,0.0
101,65528.95,0.00074,0.0
102,65529.05,0.00013,0.0
103,65529.15,0.00018,0.0
104,65529.41,0.00116,0.0
105,65529.43,0.00027,0.0
106,65530.0,0.004,0.0
107,65530.05,0.00015,0.0
108,65530.6,0.00011,0.0
109,65530.83,0.00014,0.0
110,65531.15,0.00019,0.0
111,65531.16,0.00064,0.0
112,65531.2,0.00025,0.0
113,65531.46,8e-05,0.0
114,65531.61,0.00064,0.0
115,65531.62,0.00012,0.0
116,65531.99,0.00011,0.0
117,65532.1,9e-05,0.0
118,65532.31,0.00063,0.0
119,65532.51,0.00012,0.0
120,65532.54,0.00013,0.0
121,65532.62,0.00012,0.0
122,65533.16,8e-05,0.0
123,65533.28,9e-05,0.0
124,65533.33,0.00121,0.0
125,65533.47,0.00016,0.0
126,65533.52,0.00013,0.0
127,65533.68,0.00127,0.0
128,65533.69,0.00052,0.0
129,65533.85,0.00338,0.0
130,65533.89,0.00019,0.0
131,65533.95,0.00012,0.0
132,65533.99,0.40553,0.0
133,65534.02,0.00067,0.0
134,65534.03,0.00084,0.0
135,65534.15,0.00184,0.0
136,65534.19,0.0007,0.0
137,65534.24,9e-05,0.0
138,65534.94,0.00039,0.0
139,65534.96,8e-05,0.0
140,65535.14,0.00013,0.0
141,65535.15,0.00012,0.0
142,65535.19,0.00057,0.0
143,65535.21,0.0003,0.0
144,65535.31,0.00152,0.0
145,65535.44,0.0001,0.0
146,65535.55,0.00011,0.0
147,65535.59,0.00011,0.0
148,65535.62,0.00227,0.0
149,65535.69,9e-05,0.0
150,65535.71,9e-05,0.0
151,65535.87,0.0001,0.0
152,65535.95,0.0005,0.0
153,65536.0,0.16021,0.0
154,65536.14,0.00091,0.0
155,65536.22,0.00011,0.0
156,65536.23,0.00113,0.0
157,65536.28,0.0002,0.0
158,65536.53,9e-05,0.0
159,65536.72,9e-05,0.0
160,65536.81,0.00064,0.0
161,65536.84,8e-05,0.0
162,65536.98,9e-05,0.0
163,65537.09,9e-05,0.0
164,65537.13,9e-05,0.0
165,65537.22,0.0001,0.0
166,65537.31,9e-05,0.0
167,65537.32,0.00022,0.0
168,65537.53,0.00086,0.0
169,65537.56,0.00023,0.0
170,65537.67,9e-05,0.0
171,65537.77,0.01525,0.0
172,65537.87,0.02189,0.0
173,65537.99,0.00011,0.0
174,65538.01,0.00167,0.0
175,65538.06,0.00092,0.0
176,65538.31,9e-05,0.0
177,65538.32,0.00031,0.0
178,65538.46,0.00157,0.0
179,65538.53,9e-05,0.0
180,65538.63,0.00018,0.0
181,65538.78,0.00603,0.0
182,65538.96,0.00017,0.0
183,65539.01,0.01197,0.0
184,65539.13,0.35,0.0
185,65539.16,9e-05,0.0
186,65539.23,0.0026,0.0
187,65539.53,0.00019,0.0
188,65539.54,0.00096,0.0
189,65539.65,0.00014,0.0
190,65539.88,0.00025,0.0
191,65540.0,0.03532,0.0
192,65540.06,0.00041,0.0
193,65540.3,0.00019,0.0
194,65540.32,0.00086,0.0
195,65540.62,9e-05,0.0
196,65540.63,0.00013,0.0
197,65540.65,0.00035,0.0
198,65541.05,0.00011,0.0
199,65541.06,0.00299,0.0
200,65541.24,8e-05,0.0
201,65541.25,0.00146,0.0
202,65541.32,0.00018,0.0
203,65541.36,0.00031,0.0
204,65541.66,0.00065,0.0
205,65541.71,0.003,0.0
206,65541.74,0.00015,0.0
207,65541.98,0.00013,0.0
208,65542.0,0.00019,0.0
209,65542.08,0.00225,0.0
210,65542.11,0.00026,0.0
211,65542.19,0.00141,0.0
212,65542.3,0.0002,0.0
213,65542.33,0.00022,0.0
214,65542.85,0.0001,0.0
215,65542.97,0.00028,0.0
216,65542.99,0.00079,0.0
217,65543.11,0.00073,0.0
218,65543.43,0.00018,0.0
219,65543.51,0.00034,0.0
220,65543.68,0.0001,0.0
221,65543.76,0.00881,0.0
222,65543.81,9e-05,0.0
223,65544.0,0.00065,0.0
224,65544.44,0.00015,0.0
225,65544.47,0.00012,0.0
226,65544.49,0.00013,0.0
227,65544.52,0.00019,0.0
228,65544.55,0.00014,0.0
229,65544.65,0.0001,0.0
230,65544.91,0.00014,0.0
231,65544.92,0.00296,0.0
232,65545.07,0.0001,0.0
233,65545.18,0.00183,0.0
234,65545.22,0.00017,0.0
235,65545.27,0.00011,0.0
236,65545.45,0.02842,0.0
237,65545.6,9e-05,0.0
238,65545.68,0.00036,0.0
239,65545.83,0.00081,0.0
240,65546.02,0.00015,0.0
241,65546.11,0.0006,0.0
242,65546.2,0.00066,0.0
243,65546.24,9e-05,0.0
244,65546.29,9e-05,0.0
245,65546.32,0.00824,0.0
246,65546.33,0.00019,0.0
247,65546.41,0.00527,0.0
248,65546.5,0.00026,0.0
249,65546.74,0.00092,0.0
250,65546.93,0.0001,0.0
251,65546.97,0.00013,0.0
252,65547.2,9e-05,0.0
253,65547.51,8e-05,0.0
254,65547.52,0.00027,0.0
255,65547.87,0.0002,0.0
256,65548.01,0.00013,0.0
257,65548.23,0.00013,0.0
258,65548.27,0.00024,0.0
259,65548.35,0.00064,0.0
260,65548.38,0.00034,0.0
261,65548.44,0.0001,0.0
262,65548.52,0.00019,0.0
263,65548.59,0.00011,0.0
264,65548.6,0.00012,0.0
265,65548.69,8e-05,0.0
266,65549.1,0.0035,0.0
267,65549.16,0.00042,0.0
268,65549.19,0.0002,0.0
269,65549.24,0.00015,0.0
270,65549.38,0.00012,0.0
271,65549.47,0.00035,0.0
272,65549.53,0.00081,0.0
273,65549.67,0.00096,0.0
274,65549.82,0.00012,0.0
275,65549.86,0.0016,0.0
276,65549.98,0.0001,0.0
277,65550.0,0.95129,0.0
278,65550.11,0.00286,0.0
279,65550.18,0.0001,0.0
280,65550.23,0.00015,0.0
281,65550.29,0.00023,0.0
282,65550.3,0.00015,0.0
283,65550.31,8e-05,0.0
284,65550.38,0.00012,0.0
285,65550.45,0.00034,0.0
286,65550.5,0.00037,0.0
287,65550.56,9e-05,0.0
288,65550.79,0.00041,0.0
289,65551.2,0.00061,0.0
290,65551.51,0.00012,0.0
291,65551.65,0.00033,0.0
292,65551.68,8e-05,0.0
293,65551.72,9e-05,0.0
294,65551.76,0.00046,0.0
295,65552.08,0.00306,0.0
296,65552.1,0.0001,0.0
297,65552.23,0.00011,0.0
298,65552.27,0.00015,0.0
299,65552.69,0.0003,0.0
300,65553.04,0.00019,0.0
301,65553.11,0.00046,0.0
302,65553.14,0.00041,0.0
303,65553.17,0.0001,0.0
304,65553.2,0.0002,0.0
305,65553.21,0.00203,0.0
306,65553.51,0.0002,0.0
307,65553.54,0.00512,0.0
308,65553.6,0.00325,0.0
309,65553.72,0.00041,0.0
310,65553.73,0.00018,0.0
311,65553.75,0.0001,0.0
312,65553.84,0.00353,0.0
313,65553.9,9e-05,0.0
314,65553.96,0.00211,0.0
315,65554.04,0.01733,0.0
316,65554.24,0.00012,0.0
317,65554.55,8e-05,0.0
318,65554.68,0.0003,0.0
319,65554.73,0.0001,0.0
320,65554.79,0.0001,0.0
321,65554.84,9e-05,0.0
322,65554.99,8e-05,0.0
323,65555.0,1.03283,0.0
324,65555.12,0.00086,0.0
325,65555.13,0.00014,0.0
326,65555.24,0.00061,0.0
327,65555.55,0.00449,0.0
328,65555.56,0.00389,0.0
329,65555.68,0.00027,0.0
330,65555.75,0.00014,0.0
331,65556.0,0.00016,0.0
332,65556.04,0.00012,0.0
333,65556.08,0.00544,0.0
334,65556.1,0.00011,0.0
335,65556.13,0.00012,0.0
336,65556.18,0.00012,0.0
337,65556.24,0.00029,0.0
338,65556.25,0.00027,0.0
339,65556.42,0.00131,0.0
340,65556.45,0.00051,0.0
341,65556.62,0.00033,0.0
342,65556.63,0.0004,0.0
343,65556.75,0.00013,0.0
344,65556.79,0.00019,0.0
345,65556.89,0.00012,0.0
346,65556.9,0.00033,0.0
347,65557.24,0.00234,0.0
348,65557.5,9e-05,0.0
349,65557.52,0.00038,0.0
350,65557.6,0.0001,0.0
351,65557.81,0.0003,0.0
352,65558.0,9e-05,0.0
353,65558.1,0.00014,0.0
354,65558.28,0.00016,0.0
355,65558.33,0.00011,0.0
356,65558.34,0.00069,0.0
357,65558.36,0.00012,0.0
358,65558.37,0.00016,0.0
359,65558.51,0.0028,0.0
360,65558.72,8e-05,0.0
361,65558.82,0.00014,0.0
362,65558.84,9e-05,0.0
363,65558.97,8e-05,0.0
364,65559.23,0.00042,0.0
365,65559.25,9e-05,0.0
366,65559.36,0.0001,0.0
367,65559.52,0.00015,0.0
368,65559.97,0.00052,0.0
369,65560.0,0.03575,0.0
370,65560.03,0.00037,0.0
371,65560.07,8e-05,0.0
372,65560.24,0.00142,0.0
373,65560.49,0.00091,0.0
374,65560.62,0.0006,0.0
375,65560.76,0.00152,0.0
376,65560.84,9e-05,0.0
377,65560.89,0.00063,0.0
378,65560.94,0.0001,0.0
379,65561.01,0.00019,0.0
380,65561.07,0.00026,0.0
381,65561.13,0.00018,0.0
382,65561.25,0.00013,0.0
383,65561.33,0.002,0.0
384,65561.5,0.00013,0.0
385,65561.63,8e-05,0.0
386,65561.99,0.00014,0.0
387,65562.05,0.00012,0.0
388,65562.32,0.00065,0.0
389,65562.34,0.0001,0.0
390,65562.4,0.00062,0.0
391,65562.47,0.00033,0.0
392,65562.5,0.1012,0.0
393,65562.8,0.02947,0.0
394,65562.87,0.00011,0.0
395,65563.14,9e-05,0.0
396,65563.16,0.00041,0.0
397,65563.24,8e-05,0.0
398,65563.58,0.0001,0.0
399,65563.6,0.00013,0.0
400,65563.92,0.00013,0.0
401,65564.0,0.00141,0.0
402,65564.16,9e-05,0.0
403,65564.21,0.00054,0.0
404,65564.7,0.0001,0.0
405,65564.96,0.00083,0.0
406,65565.01,0.00011,0.0
407,65565.1,0.00045,0.0
408,65565.19,0.00012,0.0
409,65565.21,0.0308,0.0
410,65565.23,0.00037,0.0
411,65565.25,8e-05,0.0
412,65565.36,0.00055,0.0
413,65565.62,0.4054,0.0
414,65565.84,0.05027,0.0
415,65565.97,0.00015,0.0
416,65566.03,0.01882,0.0
417,65566.06,0.00037,0.0
418,65566.11,9e-05,0.0
419,65566.26,0.00014,0.0
420,65566.41,0.00016,0.0
421,65566.66,0.00078,0.0
422,65566.73,0.00196,0.0
423,65567.0,0.00381,0.0
424,65567.04,0.00012,0.0
425,65567.14,0.00038,0.0
426,65567.19,0.00032,0.0
427,65567.49,0.00213,0.0
428,65567.8,0.00223,0.0
429,65567.99,0.00048,0.0
430,65568.15,0.0007,0.0
431,65568.26,0.00062,0.0
432,65568.76,0.00039,0.0
433,65568.88,0.00022,0.0
434,65568.96,0.00228,0.0
435,65569.18,0.00016,0.0
436,65569.21,0.00028,0.0
437,65569.33,0.0001,0.0
438,65569.35,9e-05,0.0
439,65569.51,0.0005,0.0
440,65569.69,9e-05,0.0
441,65569.72,9e-05,0.0
442,65569.78,9e-05,0.0
443,65570.0,0.00409,0.0
444,65570.01,0.00314,0.0
445,65570.04,9e-05,0.0
446,65570.24,9e-05,0.0
447,65570.78,0.00012,0.0
448,65570.81,0.35,0.0
449,65570.97,0.00019,0.0
450,65571.07,9e-05,0.0
451,65571.09,0.00011,0.0
452,65571.25,0.00019,0.0
453,65571.26,0.00014,0.0
454,65571.42,0.00637,0.0
455,65571.43,0.0014,0.0
456,65571.52,0.00358,0.0
457,65571.67,0.00018,0.0
458,65571.85,0.00016,0.0
459,65571.88,0.00059,0.0
460,65571.96,0.00055,0.0
461,65571.98,0.05302,0.0
462,65572.11,0.00027,0.0
463,65572.35,0.00044,0.0
464,65572.66,0.00016,0.0
465,65572.76,0.00017,0.0
466,65572.95,0.00182,0.0
467,65573.06,0.00165,0.0
468,65573.16,0.00879,0.0
469,65573.25,0.00028,0.0
470,65573.44,9e-05,0.0
471,65573.66,0.00095,0.0
472,65573.72,0.00012,0.0
473,65573.81,0.00062,0.0
474,65574.0,0.1362,0.0
475,65574.18,0.0675,0.0
476,65574.21,0.00025,0.0
477,65574.31,8e-05,0.0
478,65574.58,0.00043,0.0
479,65574.71,0.0006,0.0
480,65574.92,0.0002,0.0
481,65574.97,9e-05,0.0
482,65575.0,0.0004,0.0
483,65575.02,9e-05,0.0
484,65575.04,0.00093,0.0
485,65575.16,0.00038,0.0
486,65575.2,0.00046,0.0
487,65575.28,0.0001,0.0
488,65575.52,0.00013,0.0
489,65575.62,0.00498,0.0
490,65575.76,0.00024,0.0
491,65575.86,0.00071,0.0
492,65576.15,0.0001,0.0
493,65576.16,9e-05,0.0
494,65576.38,0.00012,0.0
495,65576.47,0.00054,0.0
496,65576.5,0.0001,0.0
497,65576.68,0.00038,0.0
498,65576.75,0.00028,0.0
499,65576.87,0.00017,0.0
500,65576.92,0.0005,0.0
501,65576.99,0.00043,0.0
502,65577.0,0.00011,0.0
503,65577.08,9e-05,0.0
504,65577.37,0.00013,0.0
505,65577.6,0.00021,0.0
506,65577.76,9e-05,0.0
507,65577.85,9e-05,0.0
508,65577.87,0.00017,0.0
509,65577.89,0.00012,0.0
510,65577.95,0.00012,0.0
511,65578.0,0.00204,0.0
512,65578.33,0.00032,0.0
513,65578.51,0.00026,0.0
514,65578.59,0.0003,0.0
515,65578.65,0.00012,0.0
516,65578.91,8e-05,0.0
517,65578.94,0.001,0.0
518,65579.4,0.0001,0.0
519,65579.58,0.00045,0.0
520,65579.65,0.00033,0.0
521,65579.71,0.00081,0.0
522,65579.87,0.00011,0.0
523,65580.0,0.04108,0.0
524,65580.05,9e-05,0.0
525,65580.1,9e-05,0.0
526,65580.33,0.00045,0.0
527,65580.57,0.00016,0.0
528,65580.74,0.00011,0.0
529,65580.77,8e-05,0.0
530,65580.85,0.00013,0.0
531,65581.19,0.00015,0.0
532,65581.2,0.00082,0.0
533,65581.25,0.00012,0.0
534,65581.43,8e-05,0.0
535,65581.66,0.00014,0.0
536,65581.68,0.00049,0.0
537,65581.81,0.00014,0.0
538,65582.0,0.00014,0.0
539,65582.04,0.00018,0.0
540,65582.07,0.0001,0.0
541,65582.22,0.00036,0.0
542,65582.51,0.0001,0.0
543,65582.67,0.00045,0.0
544,65582.78,0.00206,0.0
545,65582.93,0.0016,0.0
546,65582.97,0.00024,0.0
547,65582.99,0.00034,0.0
548,65583.01,8e-05,0.0
549,65583.17,0.00217,0.0
550,65583.27,0.00018,0.0
551,65583.31,0.00032,0.0
552,65583.33,0.00045,0.0
553,65583.45,0.00025,0.0
554,65583.55,0.00338,0.0
555,65583.69,0.00015,0.0
